prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P3_MOMENTUM_TOP20,4,2024-08,2,0.02440193978386196,1.0,0.0
P3_MOMENTUM_TOP20,4,2024-09,2,0.003890639247426275,0.5,0.0
P3_MOMENTUM_TOP20,4,2024-10,2,0.015695482397716454,1.0,0.0
P3_MOMENTUM_TOP20,4,2024-11,34,0.008881916699771342,0.9117647058823529,0.08823529411764706
P3_MOMENTUM_TOP20,4,2024-12,5,-0.002354782649854692,0.8,0.2
P3_MOMENTUM_TOP20,4,2025-01,6,0.0019420493716024723,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,4,2025-02,2,0.0005653188533130127,1.0,0.0
P3_MOMENTUM_TOP20,4,2025-03,8,0.01776575477988035,0.875,0.0
P3_MOMENTUM_TOP20,4,2025-04,8,0.004871585481665386,1.0,0.0
P3_MOMENTUM_TOP20,4,2025-05,27,0.01565431483299642,0.8518518518518519,0.07407407407407407
P3_MOMENTUM_TOP20,4,2025-06,12,0.00793151047316278,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,4,2025-07,23,0.007108515858423642,0.8260869565217391,0.043478260869565216
P3_MOMENTUM_TOP20,4,2025-08,12,0.011277337316433276,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,4,2025-11,6,0.008300125111205814,1.0,0.0
P3_MOMENTUM_TOP20,4,2025-12,8,0.017251367654975924,0.875,0.0
P3_MOMENTUM_TOP20,4,2026-01,1,0.039132981109504916,1.0,0.0
P3_MOMENTUM_TOP20,4,2026-02,12,0.012350444766488425,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,4,2026-03,17,0.0073382199981759195,0.8823529411764706,0.058823529411764705
P3_MOMENTUM_TOP20,4,2026-04,9,0.012654363338222686,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,4,2026-06,6,0.016349680989630928,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-01,13,0.00771859255345124,0.6923076923076923,0.23076923076923078
P3_MOMENTUM_TOP20,8,2024-02,9,0.00020522667692009686,0.8888888888888888,0.0
P3_MOMENTUM_TOP20,8,2024-03,14,-0.0019699571676500827,0.8571428571428571,0.07142857142857142
P3_MOMENTUM_TOP20,8,2024-04,7,0.009372083494056715,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-05,10,0.0294042562204457,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-07,1,0.006006362746063809,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-08,2,0.016462990557919777,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-09,2,0.005481487852874278,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-10,2,0.010577585031895764,1.0,0.0
P3_MOMENTUM_TOP20,8,2024-11,34,0.00940915612923143,0.9117647058823529,0.08823529411764706
P3_MOMENTUM_TOP20,8,2024-12,5,-0.0048444971011367246,0.8,0.2
P3_MOMENTUM_TOP20,8,2025-01,6,-0.0006829404254555064,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,8,2025-02,2,-0.005828220246857196,1.0,0.0
P3_MOMENTUM_TOP20,8,2025-03,8,0.013815383118569308,0.875,0.0
P3_MOMENTUM_TOP20,8,2025-04,8,0.005056775308806036,1.0,0.0
P3_MOMENTUM_TOP20,8,2025-05,27,0.014785995940593776,0.8518518518518519,0.1111111111111111
P3_MOMENTUM_TOP20,8,2025-06,12,0.004066878121347567,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,8,2025-07,23,0.009401276479220892,0.9130434782608695,0.08695652173913043
P3_MOMENTUM_TOP20,8,2025-08,12,0.014928171402073845,0.8333333333333334,0.08333333333333333
P3_MOMENTUM_TOP20,8,2025-11,6,0.00860140600452112,1.0,0.0
P3_MOMENTUM_TOP20,8,2025-12,8,0.0187015855349235,0.875,0.0
P3_MOMENTUM_TOP20,8,2026-01,1,0.03768130389273794,1.0,0.0
P3_MOMENTUM_TOP20,8,2026-02,12,0.014527336454560872,0.8333333333333334,0.0
P3_MOMENTUM_TOP20,8,2026-03,17,0.00170321523697652,0.8823529411764706,0.11764705882352941
P3_MOMENTUM_TOP20,8,2026-04,9,0.009773716101144438,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,8,2026-06,6,0.01535378345142413,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-01,13,0.011521326991680207,0.6923076923076923,0.23076923076923078
P3_MOMENTUM_TOP20,16,2024-02,9,0.0014668082443847455,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,16,2024-03,14,-0.007309084802231017,0.8571428571428571,0.07142857142857142
P3_MOMENTUM_TOP20,16,2024-04,7,0.010469157435042144,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-05,10,0.040937959723827466,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-07,1,0.0035812177299250347,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-08,2,0.014638046164587415,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-09,2,0.006085954759027179,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-10,2,0.014598214435781687,1.0,0.0
P3_MOMENTUM_TOP20,16,2024-11,34,0.014307349687463252,0.9117647058823529,0.08823529411764706
P3_MOMENTUM_TOP20,16,2024-12,5,-0.006004668285877912,0.8,0.2
P3_MOMENTUM_TOP20,16,2025-01,6,0.007055965438597267,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,16,2025-02,2,-0.008362439203026317,1.0,0.0
P3_MOMENTUM_TOP20,16,2025-03,8,0.019127539321563372,1.0,0.0
P3_MOMENTUM_TOP20,16,2025-04,8,0.002767156738782958,1.0,0.0
P3_MOMENTUM_TOP20,16,2025-05,27,0.01813561179867768,0.8518518518518519,0.1111111111111111
P3_MOMENTUM_TOP20,16,2025-06,12,0.003697343197663396,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,16,2025-07,23,0.011905711463138877,0.9130434782608695,0.08695652173913043
P3_MOMENTUM_TOP20,16,2025-08,12,0.01993128390706218,0.8333333333333334,0.08333333333333333
P3_MOMENTUM_TOP20,16,2025-11,6,0.006393741771827555,1.0,0.0
P3_MOMENTUM_TOP20,16,2025-12,8,0.013237050156729449,0.875,0.125
P3_MOMENTUM_TOP20,16,2026-01,1,0.04341013308079544,1.0,0.0
P3_MOMENTUM_TOP20,16,2026-02,12,0.01612375248760221,0.9166666666666666,0.0
P3_MOMENTUM_TOP20,16,2026-03,17,0.003295608478033164,0.8823529411764706,0.11764705882352941
P3_MOMENTUM_TOP20,16,2026-04,9,0.00985256524887839,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,16,2026-06,6,0.019931234469140507,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-01,13,0.009626843716805462,0.6923076923076923,0.23076923076923078
P3_MOMENTUM_TOP20,32,2024-02,9,0.01196251193953013,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,32,2024-03,14,-0.013527621160694114,0.8571428571428571,0.07142857142857142
P3_MOMENTUM_TOP20,32,2024-04,7,0.017057423986917897,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-05,10,0.03174540912396345,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-07,1,-0.011392676467690821,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-08,2,0.01955422253074446,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-09,2,0.002748244772402153,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-10,2,0.015034226291563146,1.0,0.0
P3_MOMENTUM_TOP20,32,2024-11,34,0.018013311928272074,0.9117647058823529,0.08823529411764706
P3_MOMENTUM_TOP20,32,2024-12,5,-0.0017314816592378212,0.8,0.2
P3_MOMENTUM_TOP20,32,2025-01,6,-0.0017331842687678216,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,32,2025-02,2,-0.006214856154607318,1.0,0.0
P3_MOMENTUM_TOP20,32,2025-03,8,0.012987554144915245,1.0,0.0
P3_MOMENTUM_TOP20,32,2025-04,8,0.006236167905417242,1.0,0.0
P3_MOMENTUM_TOP20,32,2025-05,27,0.0261189236755328,0.8518518518518519,0.1111111111111111
P3_MOMENTUM_TOP20,32,2025-06,12,0.006480686489804877,0.8333333333333334,0.16666666666666666
P3_MOMENTUM_TOP20,32,2025-07,23,0.010318668802909802,0.9130434782608695,0.08695652173913043
P3_MOMENTUM_TOP20,32,2025-08,12,0.021292514351157883,0.8333333333333334,0.08333333333333333
P3_MOMENTUM_TOP20,32,2025-11,6,-0.0009561330919137986,1.0,0.0
P3_MOMENTUM_TOP20,32,2025-12,8,0.00960120595575685,0.875,0.125
P3_MOMENTUM_TOP20,32,2026-01,1,0.03676543886756711,1.0,0.0
P3_MOMENTUM_TOP20,32,2026-02,12,0.014806010692456692,0.9166666666666666,0.0
P3_MOMENTUM_TOP20,32,2026-03,17,0.008868913991530702,0.8823529411764706,0.11764705882352941
P3_MOMENTUM_TOP20,32,2026-04,9,0.011792917138453108,0.8888888888888888,0.1111111111111111
P3_MOMENTUM_TOP20,32,2026-06,6,0.0068603772939273,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-01,10,0.009655683504926205,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-02,22,0.010065422748877865,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-03,5,0.009138299135948547,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-04,9,0.012891938337153765,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-05,14,0.012518507365955833,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-06,5,0.0066537182825302296,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-07,6,0.007151470545856002,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-08,7,0.008186497995178772,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-09,5,0.011068634946740197,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-10,12,0.011670707946009884,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-11,16,0.017275558437915922,1.0,0.0
P4_BREAKOUT_TOP20,1,2024-12,6,0.012870111055436081,1.0,0.0
P4_BREAKOUT_TOP20,1,2025-01,13,0.00873411462839302,1.0,0.0
