period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2022Q1,BNBUSDT,fixed_risk_0_5pct,30,-0.04385223726259176,0.43483275318216025,-0.05371248238070603,0.3,valid
2022Q1,BTCUSDT,fixed_1x,25,-0.09351831206345401,0.2685249034383768,-0.08732631529439194,0.16,valid
2022Q1,BTCUSDT,fixed_risk_0_5pct,25,-0.06649363479806411,0.2326790270190379,-0.06223714412470005,0.16,valid
2022Q1,ETHUSDT,fixed_1x,25,-0.08598794469690267,0.2185699272017493,-0.09255678035684156,0.24,valid
2022Q1,ETHUSDT,fixed_risk_0_5pct,25,-0.05009724911689668,0.2795325653723898,-0.05524944594260295,0.24,valid
2022Q1,SOLUSDT,fixed_1x,27,-0.07707285645129763,0.6636270137772605,-0.12458185815471967,0.3333333333333333,valid
2022Q1,SOLUSDT,fixed_risk_0_5pct,27,-0.029261198224635333,0.6823136425828447,-0.04338981367785555,0.3333333333333333,valid
2022Q2,BNBUSDT,fixed_1x,29,-0.03061082037056576,0.620919163429946,-0.03126464788862382,0.3103448275862069,valid
2022Q2,BNBUSDT,fixed_risk_0_5pct,29,-0.03126304329369905,0.5822847005875067,-0.027425334571318905,0.3103448275862069,valid
2022Q2,BTCUSDT,fixed_1x,19,-0.04121487571108288,0.34344420035907125,-0.05180320485481926,0.21052631578947367,valid
2022Q2,BTCUSDT,fixed_risk_0_5pct,19,-0.041086180602789804,0.2746810626668731,-0.045918339589709034,0.21052631578947367,valid
2022Q2,ETHUSDT,fixed_1x,28,-0.039988049383805895,0.5388917964547867,-0.056076573501717575,0.32142857142857145,valid
2022Q2,ETHUSDT,fixed_risk_0_5pct,28,-0.03163325913676689,0.5622608602533116,-0.04276479414068768,0.32142857142857145,valid
2022Q2,SOLUSDT,fixed_1x,17,0.021618214299500883,1.2147625693897133,-0.030734351859921794,0.47058823529411764,valid
2022Q2,SOLUSDT,fixed_risk_0_5pct,17,0.014710320327544189,1.3078618218613116,-0.015857487938039427,0.47058823529411764,valid
2022Q3,BNBUSDT,fixed_1x,27,-0.01417589392304021,0.7397596560370918,-0.026946413403190816,0.37037037037037035,valid
2022Q3,BNBUSDT,fixed_risk_0_5pct,27,-0.01113409052153855,0.8071433179550624,-0.027419695146506884,0.37037037037037035,valid
2022Q3,BTCUSDT,fixed_1x,34,-0.08898447914372973,0.30251629474264036,-0.09627033203338797,0.20588235294117646,valid
2022Q3,BTCUSDT,fixed_risk_0_5pct,34,-0.06527809343549827,0.3088006937139694,-0.06618957451818586,0.20588235294117646,valid
2022Q3,ETHUSDT,fixed_1x,29,-0.04055464535820988,0.5971026962592882,-0.05277932312892408,0.3793103448275862,valid
2022Q3,ETHUSDT,fixed_risk_0_5pct,29,-0.02064515105196508,0.6643294210595083,-0.026976490875793235,0.3793103448275862,valid
2022Q3,SOLUSDT,fixed_1x,33,-0.15216126305498573,0.39293597985428325,-0.15457900940915104,0.24242424242424243,valid
2022Q3,SOLUSDT,fixed_risk_0_5pct,33,-0.07093612702957934,0.45480568410349526,-0.07765762348677929,0.24242424242424243,valid
2022Q4,BNBUSDT,fixed_1x,10,0.0031166092347818006,1.2406115683611945,-0.009311762883879582,0.5,valid
2022Q4,BNBUSDT,fixed_risk_0_5pct,10,0.0008257849420111949,1.0490783597239806,-0.012085656872076633,0.5,valid
2022Q4,BTCUSDT,fixed_1x,12,-0.009161122471654404,0.37260012976867873,-0.01257030350240207,0.25,valid
2022Q4,BTCUSDT,fixed_risk_0_5pct,12,-0.010078951970862692,0.3634516499922822,-0.013628940491345998,0.25,valid
2022Q4,ETHUSDT,fixed_1x,10,-0.011192871986531688,0.4626921012078241,-0.020670481391166673,0.3,valid
2022Q4,ETHUSDT,fixed_risk_0_5pct,10,-0.012925988269962708,0.4068392642232392,-0.02164721741377762,0.3,valid
2022Q4,SOLUSDT,fixed_1x,25,-0.0542229958010199,0.45033893222317334,-0.07449335866561912,0.24,valid
2022Q4,SOLUSDT,fixed_risk_0_5pct,25,-0.05769779951978507,0.3176347379137671,-0.068778543415846,0.24,valid
2023Q1,BNBUSDT,fixed_1x,22,0.0056687687858133886,1.1933247329343053,-0.01149391423046675,0.5,valid
2023Q1,BNBUSDT,fixed_risk_0_5pct,22,0.006155724144790161,1.1831598799053888,-0.011252824706358355,0.5,valid
2023Q1,BTCUSDT,fixed_1x,13,0.027375442775991642,3.1662238372930864,-0.010660309607305019,0.6153846153846154,valid
2023Q1,BTCUSDT,fixed_risk_0_5pct,13,0.016462300059733693,2.2472623987186804,-0.011186259123402431,0.6153846153846154,valid
2023Q1,ETHUSDT,fixed_1x,19,-0.01646100125122082,0.544664732919748,-0.020740440509887992,0.3684210526315789,valid
2023Q1,ETHUSDT,fixed_risk_0_5pct,19,-0.015003860939287867,0.6005657619336252,-0.020090775585786314,0.3684210526315789,valid
2023Q1,SOLUSDT,fixed_1x,16,-0.021936614052076225,0.6775131649047426,-0.04768779557967917,0.4375,valid
2023Q1,SOLUSDT,fixed_risk_0_5pct,16,-0.01376329795155998,0.6748394792031164,-0.02669433547324862,0.4375,valid
2023Q2,BNBUSDT,fixed_1x,16,0.0077466252135183706,1.58302295387044,-0.00832726864567368,0.5625,valid
