symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,coverage_status
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,185,650.1930354016142,,-0.16835976426890087,2.7673405207405564,0.5567567567567567,9884.334995959882,-4486.505721734801,2.203125463113841,0,0.0,1000.0,651193.0354016143,0.14322770892529824,0.3702283548196683,0.5645165908676626,96 days 06:22:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,185,688.0431489180693,,-0.19274571895162673,2.3080464496289625,0.5567567567567567,11786.906229161266,-6414.734057140745,1.8374738725201452,0,0.0,1000.0,689043.1489180693,0.17951639976058653,0.456175232881441,0.6070783666132956,96 days 06:22:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,185,576.03616274536,,-0.20619555495884967,2.1114564398811497,0.5567567567567567,10624.345947299858,-6320.383778372257,1.6809653210704298,0,0.0,1000.0,577036.16274536,0.20498090953372985,0.5228909217474487,0.657715947715429,101 days 21:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,111,42220.9896716512,,-0.43629780255795325,2.0276244387652036,0.5945945945945946,1262227.2928808504,-913022.481299665,1.3824712082490027,0,0.0,816.6996745155121,42221989.6716512,0.26512239891270106,0.6195273135393652,0.9026435757149184,206 days 01:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,111,24138589.233764075,,-0.7306071834636019,1.5536190064784303,0.5945945945945946,1026364170.7072245,-968921022.9536169,1.0592856862352933,0,0.0,633.3993490310243,24138590233.764076,0.5715717423252438,1.156872484480881,1.5609812528385392,206 days 01:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,111,74.2857797450089,,-0.16112048334449613,2.819484683381801,0.5945945945945946,1744.1470045613128,-907.2871679119488,1.9223759204875916,0,0.0,963.3399349031024,75285.7797450089,0.17777506650737235,0.46924178783666626,0.6251306943431015,130 days 18:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,111,168.68564735237388,,-0.16901406587371237,2.7440532573256573,0.5945945945945946,4021.3047788213194,-2149.343734440739,1.870945402722039,0,0.0,945.0099023546536,169685.64735237387,0.1940033807938291,0.5185916587067287,0.7411843447039719,130 days 18:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,111,126.55438437428236,,-0.17840146325331296,2.531814046282132,0.5945945945945946,3169.2683779876907,-1835.9406349534495,1.7262368497378173,0,0.0,945.0099023546536,127554.38437428237,0.2298437937119511,0.5348381728857499,0.7298967034595226,206 days 01:07:00,usable
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
BTCUSDT,P4_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,0,0.0,,0.0,,,,,,0,,1000.0,1000.0,,,,0 days 00:00:00,gate_unavailable
