factor,common,family,role,horizon,direction,original_q5_minus_q1,ordinary_bootstrap_mean,ordinary_bootstrap_p05,ordinary_bootstrap_p50,ordinary_bootstrap_p95,ordinary_positive_rate,ordinary_same_direction_rate,monthly_bootstrap_mean,monthly_bootstrap_p05,monthly_bootstrap_p50,monthly_bootstrap_p95,monthly_positive_rate,monthly_same_direction_rate,quarterly_bootstrap_mean,quarterly_bootstrap_p05,quarterly_bootstrap_p50,quarterly_bootstrap_p95,quarterly_positive_rate,quarterly_same_direction_rate,bootstrap_status
volatility_ratio_short_long,Volatility expansion: short ATR level relative to its longer rolling average.,volatility_expansion,risk,8,1,0.0074574242234016,0.007435838031030135,0.005509242137698348,0.007416307708406471,0.00943972188155313,1.0,1.0,0.007479420126904434,0.005737773328859796,0.007453616512072837,0.009366475735517103,1.0,1.0,0.007482854623623936,0.00567475887343638,0.007404808442962702,0.009546616015676024,1.0,1.0,robust_candidate
volatility_ratio_short_long,Volatility expansion: short ATR level relative to its longer rolling average.,volatility_expansion,risk,16,1,0.0099353665965368,0.009966606536515016,0.0075599711415398575,0.00996147498703134,0.012421422133586438,1.0,1.0,0.009895242252589828,0.007530847465359455,0.009801435884071593,0.012516229795540762,1.0,1.0,0.009969369860654772,0.007354930674653841,0.009817676360286274,0.013187485709699907,1.0,1.0,robust_candidate
volatility_ratio_short_long,Volatility expansion: short ATR level relative to its longer rolling average.,volatility_expansion,risk,32,1,0.0135096349144348,0.013491517187527153,0.01025322046103733,0.013477900958279328,0.016748080409030634,1.0,1.0,0.013416746320022713,0.00996622399844966,0.013364752828495936,0.017067406023995178,1.0,1.0,0.013569231249090733,0.009157616863173599,0.013481064571028246,0.018332904409344784,1.0,1.0,robust_candidate
body_ratio,Candle conviction: real body share of the full candle range.,breakout_conviction,alpha,1,1,0.0074214425018376,0.007427696048762271,0.00628068678192356,0.007424396842316007,0.008613531467194324,1.0,1.0,0.007420966496798604,0.006305821953557868,0.007413929617468585,0.00856820934222228,1.0,1.0,0.007411030217113477,0.006697166442523363,0.007401235450957042,0.008161499090479645,1.0,1.0,robust_candidate
body_ratio,Candle conviction: real body share of the full candle range.,breakout_conviction,alpha,4,1,0.0073724211086404,0.00737661633007512,0.005765791786714165,0.007354767968139794,0.00905935367194382,1.0,1.0,0.007348244576469651,0.005921948279656424,0.007318259145302239,0.008863293203217729,1.0,1.0,0.007326390984740185,0.0063741971153915096,0.007307544906097637,0.008338214825559754,1.0,1.0,robust_candidate
body_ratio,Candle conviction: real body share of the full candle range.,breakout_conviction,alpha,8,1,0.0074994559968306,0.007497441465745942,0.0054915333893942216,0.007493313138802773,0.009557686733253109,1.0,1.0,0.0074491431883805465,0.005455487148400569,0.007440501878740093,0.009472492560169831,1.0,1.0,0.0074509161238536905,0.006126905500416992,0.007456345566100864,0.008776506817962246,1.0,1.0,robust_candidate
body_ratio,Candle conviction: real body share of the full candle range.,breakout_conviction,alpha,16,1,0.0073880692310713,0.007380204596656948,0.004816966562857703,0.007378502750198749,0.009985302531964467,1.0,1.0,0.007383118664967971,0.0050277512930818795,0.007407848645210861,0.00964851250293574,1.0,1.0,0.007307826871042499,0.005250588392433242,0.0073932310169229475,0.009080178168143794,1.0,1.0,robust_candidate
body_ratio,Candle conviction: real body share of the full candle range.,breakout_conviction,alpha,32,1,0.0097700109155907,0.00979246106270725,0.006511742679758844,0.009779694776041153,0.013062244722043806,1.0,1.0,0.009749264647394005,0.006564568252923687,0.00977723125296939,0.012788797336778124,1.0,1.0,0.009679623805633484,0.0078124867873103415,0.009688521724316036,0.011481940076714726,1.0,1.0,robust_candidate
upper_shadow_ratio,Upper rejection: upper wick share of the full candle range.,shadow_rejection,alpha_or_avoid,1,-1,-0.0049549621412536,0.004951602074018896,0.003830703143061038,0.00494231830377325,0.006131801650301056,1.0,1.0,0.004944990961252744,0.003912348389618231,0.0049387133815527035,0.00596580385596297,1.0,1.0,0.004975109070572579,0.003970686436104218,0.004990009345143815,0.005927749201541733,1.0,1.0,robust_candidate
upper_shadow_ratio,Upper rejection: upper wick share of the full candle range.,shadow_rejection,alpha_or_avoid,4,-1,-0.0040249809204415,0.004028828145385504,0.0023008175667269815,0.004043271797351495,0.005810076755066907,1.0,1.0,0.004042354159243778,0.0023447470132101434,0.00403912937989501,0.005721889736777601,1.0,1.0,0.004070514718524079,0.0018082729223204963,0.004157848471193668,0.006071050511105933,0.9984,0.9984,robust_candidate
upper_shadow_ratio,Upper rejection: upper wick share of the full candle range.,shadow_rejection,alpha_or_avoid,8,-1,-0.0037954047977149,0.003796670078709836,0.0017996838529990113,0.0037676204638817977,0.00581325191192431,0.9982,0.9982,0.0037893669264213456,0.00180277014104146,0.0037905427112553004,0.005762566831581437,0.9992,0.9992,0.003814389757399816,0.0021343489395593187,0.00385681553175752,0.005307418258233988,1.0,1.0,robust_candidate
upper_shadow_ratio,Upper rejection: upper wick share of the full candle range.,shadow_rejection,alpha_or_avoid,16,-1,-0.00462293288835,0.0046280829102681225,0.0020019668137096444,0.004594015929878091,0.007414344185796151,0.9976,0.9976,0.004642355623655468,0.0023028680074172305,0.00464450912277789,0.007012964443113407,0.9994,0.9994,0.004647488991740277,0.0021593278743967533,0.004659049235548284,0.00703829986397518,1.0,1.0,robust_candidate
upper_shadow_ratio,Upper rejection: upper wick share of the full candle range.,shadow_rejection,alpha_or_avoid,32,-1,-0.0078696387162357,0.00784014492863179,0.004377540424516328,0.007807952526964959,0.01133432935294122,1.0,1.0,0.007820468451942316,0.004117986320683424,0.00780263776106575,0.011615692271869406,1.0,1.0,0.0078250022591127,0.004398934017088456,0.007862214638060586,0.011026946295913095,1.0,1.0,robust_candidate
lower_shadow_ratio,Lower rejection: lower wick share of the full candle range.,shadow_rejection,alpha_or_avoid,1,-1,-0.0039246824996067,0.003937864392578196,0.0029846562587148287,0.003932485572434072,0.004899465720481948,1.0,1.0,0.00393586201020411,0.0028301758367964103,0.003932233114456892,0.00503696823996357,1.0,1.0,0.0039148829278829265,0.002977385799651073,0.0038894549785783283,0.004965895049528493,1.0,1.0,robust_candidate
