data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,,112,,1.5499098865463081,,-0.599824526195686,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,,112,,1.157136637477501,,-0.9975,,2,,6,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,,112,,2.7609408982644768,,-0.1970114992119224,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,,112,,2.5638677480933802,,-0.21522714026819145,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,,112,,2.4626997693147303,,-0.2690339253352394,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,,121,,1.766557091460412,,-0.6702448707702328,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,,121,,1.2678945582430439,,-0.9975,,2,,6,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,,121,,2.9145832910966467,,-0.21443832127172202,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,,121,,2.8136379712587796,,-0.24040745541452646,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,,121,,2.5185055817068083,,-0.2690339253352393,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,,201,,1.6313661760039082,,-0.6195737365777682,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,,201,,1.2074478532562336,,-0.9980274131151144,,2,,6,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,,201,,2.3711397368062737,,-0.201126875894848,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,,201,,2.187672143121687,,-0.2553047142170213,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,,201,,2.1085147579245707,,-0.2690339253352394,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,,161,,1.5784296644088303,,-0.5785187543042623,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,,161,,1.1667462187528088,,-0.9289586535859,,0,,1,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,,161,,2.9926627058451536,,-0.19425027117844484,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,,161,,2.899136146418485,,-0.24610127674161397,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,,161,,2.890245621770713,,-0.21805010739505426,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,,94,,1.5431259733356189,,-0.5572404499314003,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,,94,,1.1546338913497103,,-0.9182273460027942,,0,,1,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,,94,,2.719612757431999,,-0.1845083266754015,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,,94,,2.489830576815688,,-0.2411217662657742,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,,94,,2.4406062766651675,,-0.22620123306861328,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,,161,,1.5875315461455175,,-0.5637195707350291,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,,161,,1.17004152300775,,-0.9225198690360364,,0,,1,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,,161,,2.9926627058451536,,-0.19425027117844484,,0,,0,insufficient_h4_sample
