factor,label,prototype,symbol,event_count,top20_minus_bottom20
atr_pct_rank,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct_rank,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct_rank,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0038910505836576847
atr_pct_rank,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.05405405405405406
atr_pct_rank,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.023255813953488413
atr_pct_rank,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.02083333333333337
atr_pct_rank,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.05058365758754868
atr_pct_rank,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.022522522522522515
atr_pct_rank,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.041860465116279055
atr_pct_rank,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.015625
atr_pct_rank,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
atr_pct_rank,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
atr_pct_rank,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct_rank,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct_rank,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
atr_pct_rank,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
atr_pct_rank,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
atr_pct_rank,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
atr_pct_rank,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.0006878950543740539
atr_pct_rank,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0015975120989137042
atr_pct_rank,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.000572348178183702
atr_pct_rank,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.0005347936409489911
atr_pct_rank,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.010147147665295337
atr_pct_rank,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.006988808197603929
atr_pct_rank,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.01298406653333753
atr_pct_rank,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,0.014372210853476744
volatility_ratio_short_long,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
volatility_ratio_short_long,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.04524886877828049
volatility_ratio_short_long,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.01869158878504673
volatility_ratio_short_long,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.03141361256544506
volatility_ratio_short_long,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.015564202334630295
volatility_ratio_short_long,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.05882352941176472
volatility_ratio_short_long,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.02336448598130836
volatility_ratio_short_long,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.05235602094240832
volatility_ratio_short_long,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.011673151750972721
volatility_ratio_short_long,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
volatility_ratio_short_long,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.051401869158878455
volatility_ratio_short_long,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,0.03664921465968585
volatility_ratio_short_long,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
volatility_ratio_short_long,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
volatility_ratio_short_long,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
volatility_ratio_short_long,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
volatility_ratio_short_long,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
volatility_ratio_short_long,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.00904977375565611
volatility_ratio_short_long,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
