symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,236,34.67925873414497,,-0.2714649304639074,2.1805880329388425,0.5,542.8290062427355,-248.93698307201518,2.1805880329388425,0,0.0,857.5920083153047,35679.258734144976,0.14453712144850625,0.3132492249351474,0.4470217722077143,103 days 04:00:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x,236,152.24137337695836,,-0.38367058574503643,2.114952621756229,0.5,2447.343421461477,-1157.1622911482693,2.1149526217562293,0,0.0,783.0184563929288,153241.37337695836,0.19301855671408114,0.3666034001805501,0.5185779439004395,103 days 04:00:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_5x,236,1638.5266031556637,,-0.5678758901539664,2.0147260922741097,0.5,27570.121042193616,-13684.302371382906,2.0147260922741097,0,0.0,633.7286965683079,1639526.6031556637,0.26864007213760777,0.4786310008828007,0.650235060767761,157 days 04:15:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,236,17611.614060401604,,-0.7617323931027888,1.9123691306554151,0.5,312837.131027483,-163586.16441391004,1.9123691306554154,0,0.0,425.15402908873216,17612614.060401604,0.3402913249820761,0.5776106076678967,0.7843516043383458,194 days 10:45:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,236,41930.17363189863,,-0.8482613409073146,1.8505915365342158,0.5,773097.3204593635,-417756.8659517479,1.8505915365342156,0,0.0,305.30054034876275,41931173.63189863,0.3695912793434562,0.62246163594281,0.8482781796948042,194 days 10:45:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,236,113.02112794224398,,-0.2574811156014244,1.9015983747424388,0.5,2020.1485554063086,-1062.342386404241,1.9015983747424385,0,0.0,884.7521540366412,114021.12794224398,0.1959369615806094,0.5165242479418655,0.707609012057764,96 days 17:00:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,236,92.31643459392946,,-0.27159093413306734,1.8759567622663553,0.5,1675.4719844724311,-893.1293184221809,1.8759567622663553,0,0.0,925.4105502447994,93316.43459392946,0.24789163665383915,0.5906696298389659,0.8218893943865442,187 days 23:45:00
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,236,35.40866930845952,,-0.27159093413306734,1.7700795021992524,0.5,689.7390394247388,-389.66557070898,1.7700795021992524,0,0.0,925.4105502447994,36408.669308459524,0.24464119811959728,0.5452610579659515,0.7743106784132636,187 days 23:45:00
BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,214,11.541396457571174,,-0.12722375988120405,2.639303392812073,0.5327102803738317,162.99845453729537,-70.40427359680494,2.3151784147474324,0,0.0,890.5094165927127,12541.396457571174,0.2034281891037603,0.338766263319918,0.4539810444325114,85 days 20:15:00
BNBUSDT,P4_BREAKOUT_TOP20,fixed_3x,214,37.093000953539295,,-0.19083563982180607,2.5906513346600604,0.5327102803738317,529.9331554122643,-233.1937876345885,2.2725011707544387,0,0.0,833.8254137263934,38093.0009535393,0.2642143995214793,0.4061238919787756,0.5175056308090984,85 days 20:15:00
BNBUSDT,P4_BREAKOUT_TOP20,fixed_5x,214,268.48317243846253,,-0.3180593997030102,2.4269217864700026,0.5327102803738317,4005.6023298384375,-1881.554931631193,2.1288787600614056,0,0.0,716.5799856684032,269483.17243846256,0.3697233343440684,0.5137084327119662,0.6456517919398095,153 days 14:30:00
BNBUSDT,P4_BREAKOUT_TOP20,fixed_8x,214,2796.1409958761933,,-0.5101128813975355,2.1705978468425178,0.5327102803738317,45480.566187189936,-23886.435494634585,1.9040331989846648,0,0.0,529.7014688432257,2797140.9958761935,0.49088580261034137,0.6747539031210171,0.8043551517102812,153 days 14:30:00
BNBUSDT,P4_BREAKOUT_TOP20,fixed_10x,214,9098.59537184153,,-0.6388737366634527,2.029734553631149,0.5327102803738317,157319.82671678357,-88358.64873871801,1.7804689066939903,0,0.0,397.8133055745527,9099595.37184153,0.5557664766843667,0.765700871377466,0.9011174929649326,153 days 14:30:00
BNBUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,214,7.511221651040357,,-0.5088950395248163,2.0640965594288274,0.5327102803738317,127.80701668769889,-70.58778251357317,1.8106110170428311,0,0.0,506.0724582100046,8511.221651040356,0.19791281182938691,0.46297325200401607,0.5924452294102787,336 days 02:00:00
