symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
ETHUSDT,2021,mid_vol,1.5_2.5,20,0.016985786555528855,0.012542548272316156,0.8,0.2,-0.007877293266657554,0.024587852423544866,0.24161690217802975,0.009490357980388893
ETHUSDT,2022,high_vol,0.5_1.0,42,-0.011303303676002135,-0.010198072758699384,0.2619047619047619,0.7380952380952381,-0.02380470704776759,0.008650876664600885,0.23214287665178374,-0.013962887766525562
ETHUSDT,2022,high_vol,0_0.5,51,-0.009939966278150135,-0.00048026518171595534,0.29411764705882354,0.6862745098039216,-0.02221691837225662,0.00855331697022708,0.1393313359170586,-0.012145530556447175
ETHUSDT,2022,high_vol,1.0_1.5,32,-0.0059426690939060126,-0.003509143950695015,0.5,0.4375,-0.018530901218845233,0.014818012648600873,0.2908349685208168,-0.009040743541363083
ETHUSDT,2022,high_vol,1.5_2.5,29,0.005519196850262962,0.005670271792491022,0.6206896551724138,0.3448275862068966,-0.013596259210171066,0.015964264611222002,0.12172483501413502,0.003621281032979642
ETHUSDT,2022,low_vol,0.5_1.0,1,-0.004237649228004181,-0.004237649228004181,0.0,1.0,-0.006414576893578383,0.0014409556789922728,,
ETHUSDT,2022,low_vol,1.0_1.5,1,0.0054961870202546725,0.0054961870202546725,0.0,1.0,-0.006176057999081386,0.01510828768512873,1.0,
ETHUSDT,2022,low_vol,1.5_2.5,7,-0.0034906990545597394,0.004439214847301698,0.7142857142857143,0.2857142857142857,-0.014117732729555521,0.010582176699974046,0.33354750917335013,-0.015455062159101779
ETHUSDT,2022,mid_vol,0.5_1.0,11,0.0049966414745542835,0.006389655563537433,0.7272727272727273,0.2727272727272727,-0.010179641043487312,0.013475235766619343,0.4018337907902072,6.62668674212552e-05
ETHUSDT,2022,mid_vol,0_0.5,8,0.005769233057134837,0.00436824069892483,0.375,0.375,-0.007129702484190453,0.012255000607205496,0.44567044039833137,0.0016504712153897038
ETHUSDT,2022,mid_vol,1.0_1.5,12,0.007086560512471242,0.008374333902861797,0.75,0.25,-0.006726609869009202,0.015527665248517711,0.1920825761750693,0.0035029084799710094
ETHUSDT,2022,mid_vol,1.5_2.5,20,-0.0056748588893234695,-0.006460570014678757,0.5,0.5,-0.016235992488567896,0.010665178964711952,0.21389746733947887,-0.009339215899077472
ETHUSDT,2023,high_vol,0.5_1.0,29,0.005902474064207216,0.005158300003737848,0.6896551724137931,0.2413793103448276,-0.005778896982779577,0.010440055719584253,0.21059590968266248,0.0034837506669182674
ETHUSDT,2023,high_vol,0_0.5,50,-0.003881323916483839,-0.0006223636480746642,0.34,0.6,-0.015517554335480535,0.00575442707461145,0.21595915880293204,-0.005262211996918803
