symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
SOLUSDT,2022-12,7,-0.0789712539133075,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-01,17,0.32663489236192866,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-02,10,0.030975773312703847,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-03,10,0.008381463024763502,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-04,14,0.025488470765781313,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-05,7,0.037078750210485234,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-06,10,0.03586314029815041,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-07,17,0.0492600155145706,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-08,8,0.0035521064503295507,False,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-09,8,0.0014272023653089105,False,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-10,13,0.2265505656956297,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-11,16,0.1831939071769878,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2023-12,16,0.29650271540614725,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-01,14,-0.1777651684820024,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-02,11,0.15517580238298712,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-03,17,-0.006032520600934843,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-04,11,-0.1081171952816985,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-05,14,0.0794830894508517,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-06,7,0.04092263910484939,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-07,18,0.12870255601152836,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-08,11,0.006511977503156241,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-09,17,-0.027706188547381938,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-10,18,-0.005490421592229344,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-11,17,0.08366390502285903,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2024-12,13,-0.17910545264194144,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-01,13,0.2276675693679242,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-02,5,-0.006963418863332849,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-03,11,0.17071475074894626,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-04,15,-0.025823663429902388,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-05,12,0.053211098664369794,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-06,11,0.030810072383215203,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-07,18,-0.009763169817626371,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-08,20,-0.10661457698259047,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-09,12,0.10324507573106478,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-10,16,-0.04667282043975152,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-11,9,-0.08106662402240583,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2025-12,13,-0.19304041081429557,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-01,13,-0.017556812904190977,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-02,6,0.02771924398224057,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-03,17,-0.18418204778508251,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-04,14,-0.0842393840194432,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-05,13,0.012334811399955847,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2026-06,9,0.004244724634272612,False,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-02,5,-0.040939014118574035,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2020-03,12,0.05258782982871024,False,False,realistic_p4_trade_return_1x_exit_month
